诊断 [zhěn duàn],<ruby>诊<rt>zhěn</rt></ruby><ruby>断<rt>duàn</rt></ruby>,诊断,診斷,zhěn duàn,['ㄓㄣˇ ㄉㄨㄢˋ'],diagnosis; diagnose,['ㄓㄣˇ ㄉㄨㄢˋ'],
眉毛 [méi mao],<ruby>眉<rt>méi</rt></ruby><ruby>毛<rt>mao</rt></ruby>,眉毛,眉毛,méi mao,['ㄇㄟˊ ㄇㄠ˙'],eyebrow,['ㄇㄟˊ ㄇㄠ˙'],
预订 [yù dìng],<ruby>预<rt>yù</rt></ruby><ruby>订<rt>dìng</rt></ruby>,预订,預訂,yù dìng,['ㄩˋ ㄉㄧㄥˋ'],place an order; book ahead; subscribe for,['ㄩˋ ㄉㄧㄥˋ'],
武器 [wǔ qì],<ruby>武<rt>wǔ</rt></ruby><ruby>器<rt>qì</rt></ruby>,武器,武器,wǔ qì,['ㄨˇ ㄑㄧˋ'],weapon; arms,['ㄨˇ ㄑㄧˋ'],
进展 [jìn zhǎn],<ruby>进<rt>jìn</rt></ruby><ruby>展<rt>zhǎn</rt></ruby>,进展,進展,jìn zhǎn,['ㄐㄧㄣˋ ㄓㄢˇ'],make progress; development; make headway,['ㄐㄧㄣˋ ㄓㄢˇ'],
清醒 [qīng xǐng],<ruby>清<rt>qīng</rt></ruby><ruby>醒<rt>xǐng</rt></ruby>,清醒,清醒,qīng xǐng,['ㄑㄧㄥ ㄒㄧㄥˇ'],clear-headed; sober; regain consciousness,['ㄑㄧㄥ ㄒㄧㄥˇ'],
眼神 [yǎn shén],<ruby>眼<rt>yǎn</rt></ruby><ruby>神<rt>shén</rt></ruby>,眼神,眼神,yǎn shén,['ㄧㄢˇ ㄕㄣˊ'],expression or emotion showing in one's eyes,['ㄧㄢˇ ㄕㄣˊ'],
武装 [wǔ zhuāng],<ruby>武<rt>wǔ</rt></ruby><ruby>装<rt>zhuāng</rt></ruby>,武装,武裝,wǔ zhuāng,['ㄨˇ ㄓㄨㄤ'],arms; equipment; to arm,['ㄨˇ ㄓㄨㄤ'],
浑身 [hún shēn],<ruby>浑<rt>hún</rt></ruby><ruby>身<rt>shēn</rt></ruby>,浑身,渾身,hún shēn,['ㄏㄨㄣˊ ㄕㄣ'],entire body; from head to foot,['ㄏㄨㄣˊ ㄕㄣ'],
瞬间 [shùn jiān],<ruby>瞬<rt>shùn</rt></ruby><ruby>间<rt>jiān</rt></ruby>,瞬间,瞬間,shùn jiān,['ㄕㄨㄣˋ ㄐㄧㄢ'],in the twinkling of an eye; in an instant; momentary,['ㄕㄨㄣˋ ㄐㄧㄢ'],
元首 [yuán shǒu],<ruby>元<rt>yuán</rt></ruby><ruby>首<rt>shǒu</rt></ruby>,元首,元首,yuán shǒu,['ㄩㄢˊ ㄕㄡˇ'],head of state,['ㄩㄢˊ ㄕㄡˇ'],
关照 [guān zhào],<ruby>关<rt>guān</rt></ruby><ruby>照<rt>zhào</rt></ruby>,关照,關照,guān zhào,['ㄍㄨㄢ ㄓㄠˋ'],concern; look after; keep an eye on,['ㄍㄨㄢ ㄓㄠˋ'],
视力 [shì lì],<ruby>视<rt>shì</rt></ruby><ruby>力<rt>lì</rt></ruby>,视力,視力,shì lì,['ㄕˋ ㄌㄧˋ'],vision; eyesight,['ㄕˋ ㄌㄧˋ'],
标题 [biāo tí],<ruby>标<rt>biāo</rt></ruby><ruby>题<rt>tí</rt></ruby>,标题,標題,biāo tí,['ㄅㄧㄠ ㄊㄧˊ'],title; header; headline; caption,['ㄅㄧㄠ ㄊㄧˊ'],
意料 [yì liào],<ruby>意<rt>yì</rt></ruby><ruby>料<rt>liào</rt></ruby>,意料,意料,yì liào,['ㄧˋ ㄌㄧㄠˋ'],expectation; to anticipate; to think ahead,['ㄧˋ ㄌㄧㄠˋ'],
四肢 [sì zhī],<ruby>四<rt>sì</rt></ruby><ruby>肢<rt>zhī</rt></ruby>,四肢,四肢,sì zhī,['ㄙˋ ㄓ'],arms and legs; the four limbs of the body,['ㄙˋ ㄓ'],
叼 [diāo],<ruby>叼<rt>diāo</rt></ruby>,叼,叼,diāo,['ㄉㄧㄠ'],hold sth. in the mouth,['ㄉㄧㄠ'],
任性 [rèn xìng],<ruby>任<rt>rèn</rt></ruby><ruby>性<rt>xìng</rt></ruby>,任性,任性,rèn xìng,['ㄖㄣˋ ㄒㄧㄥˋ'],willful; headstrong,['ㄖㄣˋ ㄒㄧㄥˋ'],
源泉 [yuán quán],<ruby>源<rt>yuán</rt></ruby><ruby>泉<rt>quán</rt></ruby>,源泉,源泉,yuán quán,['ㄩㄢˊ ㄑㄩㄢˊ'],headspring; fountainhead; water source,['ㄩㄢˊ ㄑㄩㄢˊ'],
